,title,description,date,type
25,Всероссийский онлайн-зачет по финансовой грамотности пройдет с 8 по 29 октября,"Как избежать ловушек мошенников, накопить на мечту, открыть свое дело или начать инвестировать? Прокачать свои финансовые знания и навыки по этим и другим актуальным темам смогут участники онлайн-зачета.",01 октября 2024,Новость
26,Банки должны рассчитывать полную стоимость кредита по картам исходя из максимально возможной суммы платежей заемщика,"Низкие процентные ставки по кредитным картам, действующие в промопериод, не могут использоваться как база для расчета  полной стоимости кредита (ПСК). Соответствующее информационное письмо регулятор направил кредитным организациям.",01 октября 2024,Новость
27,Банки стали чаще кредитовать заемщиков в возрасте до 35 лет: обзор по данным БКИ,"Доля выдачи кредитных продуктов заемщикам в возрасте до 35 лет увеличилась в среднем на 8 п.п. во всех сегментах кредитования, показывают данные бюро кредитных историй (БКИ).",01 октября 2024,Новость
28,Объем подозрительных операций сократился на 27% в первом полугодии 2024 года,"Объемы обналичивания в первом полугодии 2024 года уменьшились на 25%, до 27,8 млрд рублей, подсчитал Банк России.",30 сентября 2024,Новость
29,Уточнены сценарии стресс-тестирования НПФ,Банк России обновил сценарии обязательного стресс-тестирования негосударственных пенсионных фондов (НПФ).,30 сентября 2024,Новость
30,Банк России направил в Государственную Думу обновленный проект Основных направлений единой государственной денежно-кредитной политики на 2025–2027 годы,В этом стратегическом документе Банк России разъясняет свои подходы к проведению денежно-кредитной политики в текущих экономических условиях и представляет базовый и три альтернативных макроэкономических сценария на ближайшие три года.,27 сентября 2024,Новость
31,«Деньги и кредит»: почему различается инфляция в регионах России и как можно улучшить ее прогнозирование,Вышел третий в 2024 г. номер ежеквартального научного журнала Банка России «Деньги и кредит».,27 сентября 2024,Новость
32,Объем займов вырос на фоне увеличения стоимости залогов: тенденции на рынке ломбардов в первом полугодии 2024 года,"Портфель займов вырос с начала года на 13% и составил 62,6 млрд рублей. Спрос на займы остается стабильным: в первой половине 2024 года в среднем за квартал ломбарды заключали чуть более 4 млн договоров. Средний размер займа увеличился по сравнению с предыдущим периодом на 8% и превысил 17 тыс. рублей. Такая динамика связана с повышением стоимости залогов — в основном это изделия из золота.",27 сентября 2024,Новость
33,Нужны ли биржевые торги в выходные дни: опрос Банка России,Банк России предлагает инвесторам пройти небольшой опрос о наиболее удобном времени биржевых торгов.,27 сентября 2024,Новость
34,Онлайн-занятия по финансовой грамотности для старшего поколения начнутся 26 сентября,"Цикл вебинаров Банка России поможет пожилым людям лучше ориентироваться в мире финансовых продуктов и услуг. Слушатели узнают, как распоряжаться своим имуществом, оформлять наследство, защищаться от мошенников и более уверенно пользоваться современными финансовыми технологиями.",25 сентября 2024,Новость
35,Банк России публикует Резюме обсуждения ключевой ставки по итогам заседания 13 сентября,"Материал отражает основные моменты дискуссии о ситуации в экономике, инфляции, денежно-кредитных и внешних условиях, вариантах решения по ключевой ставке.",25 сентября 2024,Новость
36,Инфляционные ожидания остаются повышенными,"В сентябре 2024 года, по данным опроса ООО «инФОМ», оценка инфляции, которую граждане ожидают через год, уменьшилась до 12,5 с 12,9% месяцем ранее. Ожидания снизились у респондентов как со сбережениями, так и без них. Все эти показатели заметно выше средних уровней первого полугодия.",25 сентября 2024,Новость
37,Состоялось заседание Национального финансового совета,Национальный финансовый совет на заседании 23.09.2024 рассмотрел проекты Основных направлений единой государственной денежно-кредитной политики и Основных направлений развития финансового рынка Российской Федерации на 2025 год и период 2026 и 2027 годов.,24 сентября 2024,Пресс-релиз
38,"В августе продолжился активный рост корпоративного кредитования, розница растет более умеренно","Темп прироста корпоративного кредитования оставался высоким (+1,9% в августе, +2,3% в июле). Средства привлекали компании из широкого круга отраслей, в основном на оборотное финансирование.",23 сентября 2024,Новость
39,Продлены ограничения на переводы за рубеж средств нерезидентов из недружественных стран со счетов брокеров и доверительных управляющих,"Такие операции Банк России приостанавливает с 1 октября 2024 года еще на 6 месяцев. Ограничения касаются переводов со счетов, открытых физическими и юридическими лицами у российских брокеров и доверительных управляющих. Они были введены с 1 апреля 2022 года.",23 сентября 2024,Новость
40,Стандарт защиты ипотечных заемщиков начнет действовать с января 2025 года,Комитет по стандартам деятельности кредитных организаций утвердил согласованный с Банком России Стандарт защиты прав и законных интересов ипотечных заемщиков.,23 сентября 2024,Новость
41,Банк России продлил еще на 6 месяцев ограничения на перевод средств за рубеж,Они будут действовать с 1 октября 2024 года до 31 марта 2025 года включительно.,23 сентября 2024,Новость
42,По вечерам Ежик ходил к Медвежонку считать звезды,Банк России 23 сентября 2024 года выпускает в обращение памятные монеты «Ежик в тумане» серии «Российская (советская) мультипликация»:,23 сентября 2024,Пресс-релиз
43,Проверить добросовестность бизнеса на платформе «Знай своего клиента» можно с 1 октября 2024 года,"1 октября 2024 года Банк России откроет сервис, который позволит по запросу получить справочную информацию о том, относится ли на платформе «Знай своего клиента» (ЗСК) индивидуальный предприниматель (ИП) или юридическое лицо к группе высокого уровня риска совершения подозрительных операций.",20 сентября 2024,Новость
44,Андрей Ганган с 2 октября назначен директором Департамента денежно-кредитной политики,Приказом Председателя Банка России Андрей Ганган с 2 октября 2024 года назначен директором Департамента денежно-кредитной политики.,20 сентября 2024,Пресс-релиз
45,МФО расширяют дистанционные каналы выдачи займов: итоги II квартала 2024 года,"Дистанционные каналы продаж расширяются в основном за счет технологических возможностей крупных компаний. Доля онлайн-займов, выданных микрофинансовыми организациями (МФО) за квартал, выросла с 81 до 84%, а в сегменте займов «до зарплаты» составила 96%.",20 сентября 2024,Новость
46,Переводы граждан: новые тарифы в СБП,"Банки не смогут брать комиссии с граждан за переводы в пользу государства (C2G-платежи) через Систему быстрых платежей (СБП). Речь идет об оплате услуг детских садов, кружков, секций, налогов, штрафов и так далее.",20 сентября 2024,Новость
47,Мошенничество в сфере ОСАГО: проблемных регионов стало еще меньше,За год с июля 2023 года число регионов с повышенными рисками мошенничества в ОСАГО сократилось до 4 субъектов с 10. Такие данные приводятся в очередном выпуске «Мониторинга региональных рисков недобросовестных действий в ОСАГО».,20 сентября 2024,Новость
48,В Татарстане завершились первые международные киберучения стран БРИКС,"В киберучениях, организатором которых стал Банк России, приняли участие представители центральных банков семи стран объединения.",19 сентября 2024,Новость
49,"Инфляция в августе уменьшилась в большинстве регионов, но остается высокой","Годовой рост цен в августе замедлился в 51 регионе, наиболее значительно — в Приморском крае и Калининградской области. В целом по России цены за год выросли на 9,1%, что чуть ниже, чем в июле.",18 сентября 2024,Новость
50,Установлены факты манипулирования рынком при совершении сделок с рядом финансовых инструментов,"В настоящее время Банк России отмечает возрастающую динамику торговой активности проп-трейдинговых компаний на биржевых торгах. Проп-трейдинговая компания — это юридическое лицо, которое в качестве основной деятельности осуществляет торговлю на организованных торгах с привлечением трейдеров для управления собственным капиталом компании и заключения сделок от имени такой компании. Банк России проводит дополнительные мероприятия по мониторингу и исследованию торговой активности данных лиц.",17 сентября 2024,Пресс-релиз
51,Страховые организации смогут получить лицензию управляющей компании,"Банк России установил для страховых организаций, имеющих право заниматься добровольным страхованием жизни, порядок получения лицензии управляющей компании для долевого страхования жизни.",17 сентября 2024,Новость
52,"Кредитование в II квартале 2024 года ускорилось во всех сегментах, а средства населения продолжили активно расти","Рост корпоративного портфеля ускорился более чем вдвое по сравнению с I кварталом 2024 года и составил 5%. Более трети прироста пришлось на сегменты, слабочувствительные к жестким денежно-кредитным условиям: проектное финансирование строительства жилья, кредитование начатых ранее инвестиционных проектов и другие. К тому же благодаря высоким доходам компании могут обслуживать долг даже в условиях повышенных ставок. С учетом спроса компаний на кредиты в первом полугодии годовой прогноз повышен до 10–15%.",17 сентября 2024,Новость
53,28 сентября Банк России проведет День открытых дверей,Увлекательные экскурсии и лекции об истории денег и современном мире финансов пройдут в 70 городах. ,17 сентября 2024,Новость
54,Рост потребительских цен остается высоким,"В августе с учетом сезонности цены росли слабее, чем в июле, когда на инфляцию значимо повлияла индексация коммунальных тарифов. Однако многие показатели устойчивого роста цен увеличились по отношению к предыдущему месяцу. Годовая инфляция практически не изменилась — 9,1%.",16 сентября 2024,Новость
55,"Мониторинг предприятий: деловая активность бизнеса продолжает расти, но менее интенсивно","В сентябре рост деловой активности компаний продолжился более умеренным темпом, чем в первой половине года.",16 сентября 2024,Новость
56,Банк России определил основные направления развития финансового рынка до 2027 года,"Повышение роли рынка капитала как источника финансирования бизнеса, совершенствование инструментов долгосрочных сбережений и инвестиций для граждан, укрепление доверия к рынку и усиление защиты прав инвесторов — таковы приоритетные направления развития финансового рынка на ближайшие три года.",16 сентября 2024,Новость
57,Первый шаг к карьере в Банке России,"Банк России приглашает на стажировку студентов очной формы обучения предпоследних и последних курсов бакалавриата, магистратуры и специалитета. Подать заявку можно до 29 октября 2024 года включительно в Москве и еще 23 городах, где расположены отделения Банка России.",16 сентября 2024,Новость
58,Новый сезон онлайн-уроков по финансовой грамотности начнется 20 сентября,"В этом году уроки будут проходить в прямом эфире с 01:00 до 18:00 по московскому времени, поэтому жители всех регионов страны от Дальнего Востока и до Калининграда смогут подобрать для себя удобный день и часы просмотра. Теперь получить сертификат можно уже на следующий день после изучения урока. Для этого нужно активно в нем участвовать и ответить на несколько вопросов при подключении.",16 сентября 2024,Новость
59,Опубликована архитектура программы FINOPOLIS 2024,"В этом году деловая программа Форума инновационных финансовых технологий состоит из пяти пленарных дискуссий, более 40 тематических секций и круглых столов.",13 сентября 2024,Новость
60,Банк России изменил параметры валютных свопов,Банк России с 16 сентября 2024 года установил следующие процентные ставки по операциям валютный своп по продаже юаней за рубли с их последующей покупкой:,13 сентября 2024,Пресс-релиз
61,"Банк России принял решение повысить ключевую ставку на 100 б.п., до 19,00% годовых", ,13 сентября 2024,Пресс-релиз
62,Платежная инфраструктура откроется для цифрового рубля: предложения Банка России,"Крупнейшие банки к 1 июля 2025 года должны будут обеспечить своим клиентам возможность проводить операции с цифровыми рублями: открывать и пополнять счета цифрового рубля, делать переводы, а также принимать цифровые рубли в своей инфраструктуре. С этого момента планируется запустить широкое использование цифровой национальной валюты. Важно, чтобы она была доступна гражданам и бизнесу и при желании они могли ею свободно пользоваться наравне с наличными и безналичными средствами.",12 сентября 2024,Новость
63,Профессия учитель,Банк России 12 сентября 2024 года выпускает в обращение памятную монету из недрагоценных металлов номиналом 10 рублей «Учитель» серии «Человек труда» (каталожный номер 5714-0101).,12 сентября 2024,Пресс-релиз
64,13 сентября в 15:00 состоится пресс-конференция по итогам заседания Совета директоров по денежно-кредитной политике,В мероприятии примут участие Председатель Банка России Эльвира Набиуллина и заместитель Председателя Банка России Алексей Заботкин.,10 сентября 2024,Новость
65,Союзному государству 25 лет,Банк России 9 сентября 2024 года выпускает в обращение памятные монеты «25 лет со дня подписания Договора о создании Союзного государства»:,09 сентября 2024,Пресс-релиз
66,"Выплаты по страхованию имущества пострадавшим от стихийных бедствий в II квартале составили 2,4 млрд рублей","Значительную часть этой суммы страховые компании выплатили жителям 39 регионов России, чье застрахованное по добровольным программам имущество пострадало из-за весеннего паводка. Существенная доля возмещения пришлась на Приволжский и Уральский федеральные округа, говорится в «Обзоре ключевых показателей деятельности страховщиков» за II квартал 2024 года.",06 сентября 2024,Новость
67,"Банк России продлил еще на полгода, до 9 марта 2025 года, ограничения на снятие наличной иностранной валюты","Банк России сохраняет ограничения по наличной валюте в связи с действующими против нашей страны санкциями, которые запрещают отечественным финансовым институтам приобретать наличную валюту западных стран.",06 сентября 2024,Новость
68,Денежно-кредитные условия в августе ужесточились,Номинальные ставки в большинстве сегментов финансового рынка выросли.,06 сентября 2024,Новость
69,"Рынок наличной валюты в августе оставался стабильным, несмотря на ослабление рубля","По итогам месяца курс рубля вернулся к уровням начала июня 2024 года. Разница покупки/продажи наличной валюты к концу августа почти не изменилась, несмотря на сезон отпусков.",06 сентября 2024,Новость
70,Мониторинг отраслевых финансовых потоков: поступления в августе немного выросли,"В августе 2024 года поток входящих платежей несколько усилился. Относительно среднего уровня II квартала они увеличились на 2,5% после снижения на 1,2% в июле. В целом рост поступлений за первые два месяца III квартала оказался более слабым по сравнению с первым полугодием.",05 сентября 2024,Новость
71,Информация о работе платежной системы Банка России 7 и 8 сентября 2024 года,Платежная система Банка России 7 и 8 сентября 2024 года будет функционировать в соответствии с графиками.,05 сентября 2024,Пресс-релиз
72,Доклад «Региональная экономика»: рост потребительской активности замедлился,"Рост потребительской активности в июле — августе замедлился, в ряде макрорегионов отмечены признаки ее снижения. Уменьшился спрос на непродовольственные товары. Повышение ставок по вкладам поддерживало сберегательные настроения граждан.",04 сентября 2024,Новость
73,Банк России предлагает изменить тарифы по ОСАГО для отдельных участников дорожного движения,"Банк России планирует расширить в обе стороны границы тарифного коридора по ОСАГО на 11,57% для общественного транспорта (троллейбусов, трамваев, автобусов, совершающих регулярные перевозки пассажиров) и на 20% для мотоциклов и грузовиков с разрешенной максимальной массой 16 тонн и ниже. Это следует из проекта указания регулятора. Базовые ставки по ОСАГО для обычных автомобилистов, которые оформляют полис на личные легковые автомобили, не изменятся.",04 сентября 2024,Новость
74,О чем говорят тренды: признаки замедления экономической активности,Оперативные данные указывают на более умеренный рост экономической активности в начале III квартала по сравнению с II кварталом. Замедлилось расширение розничного кредитования и потребления. При этом спрос был по-прежнему существенно выше предложения.,03 сентября 2024,Новость
75,Открытые API: новые возможности для людей и компаний,"Открытые программные интерфейсы (Открытые API) позволят компаниям более оперативно обмениваться информацией о клиенте при его согласии, предоставлять ему выгодные персонализированные услуги, а также дадут человеку возможность управлять своими данными на качественном уровне. Основные принципы и этапы внедрения Открытых API опубликованы на сайте Банка России.",02 сентября 2024,Новость
76,Банк России разработал онлайн-курс по финансовой грамотности для внеурочных занятий в 3–6 классах,"Под одной электронной обложкой собраны 68 готовых уроков по разной финансовой тематике — с примерами, заданиями и рекомендациями.",02 сентября 2024,Новость
