,title,date,full_text
36,Особые условия на покупку резиденций Six Senses The Palm от Metropolitan Group,2022-02-04,"Особые условия на покупку резиденций Six Senses The Palm от Metropolitan Group Бренд Six Senses выходит на рынок ОАЭ впервые, на покупку объектов действует специальное предложение до 15 февраля"
37,«В Советском Союзе родильные дома были как тюрьмы»,2022-02-05,"«В Советском Союзе родильные дома были как тюрьмы» Акушер-гинеколог Марк Курцер о том, почему женщины в СССР редко рожали второго ребенка, почему он противник абортов и в каких случаях он сам оперирует"
38,"Новый канцлер долго запрягал, но теперь быстро поедет",2022-02-06,"Новый канцлер долго запрягал, но теперь быстро поедет В понедельник в Вашингтоне состоится встреча Олафа Шольца с Джо Байденом, а через неделю — с Владимиром Путиным в Москве"
39,Российские хоккеисты начнут с теневого фаворита,2022-02-07,"Российские хоккеисты начнут с теневого фаворита В первом матче олимпийского турнира им противостоят опасные швейцарцы. Кто выйдет победителем в противостоянии, по мнению аналитиков Фонбет?"
40,Хельсинки 2.0 вместо боевого клича,2022-02-08,Хельсинки 2.0 вместо боевого клича Председатель Восточного комитета германской экономики Оливер Гермес — о роли европейского делового сообщества в предотвращении конфликта России и Запада
41,Питерский коммунист заплатит за цитату Сартра,2022-02-09,Питерский коммунист заплатит за цитату Сартра Суд оштрафовал Алексея Филиппова за репост высказывания французского экзистенционалиста
42,Аутсайдер с очками,2022-02-10,"Аутсайдер с очками Во втором матче олимпийского турнира российские хоккеисты встречаются с датчанами. Насколько проблемной может стать игра для наших, по мнению экспертов Фонбет?"
43,Чехи под конец,2022-02-11,"Чехи под конец Российские хоккеисты завершат групповой этап олимпийского хоккейного турнира матчем с опытным соперником. Сможет ли он доставить нашей команде проблем, по мнению аналитиков Фонбет?"
44,«Владимир Путин вчера предпринял самое мощное наступление на США»,2022-02-12,«Владимир Путин вчера предпринял самое мощное наступление на США» Как 15 лет назад западные СМИ оценили «мюнхенскую речь» президента России
45,Чиновник заблуждался на миллиарды,2022-02-13,Чиновник заблуждался на миллиарды Утверждено обвинение по делу о грандиозной афере со столичной недвижимостью
46,Биокерамические имплантаты для восстановления костных дефектов,2022-02-14,"Биокерамические имплантаты для восстановления костных дефектов Технологии ДВФУ помогут справиться с последствиями травм, онкологических заболеваний и возрастных изменений"
47,Повторение датского,2022-02-15,"Повторение датского За выход в полуфинал Олимпиады российские хоккеисты будут бороться с фальшивым аутсайдером. Что он сможет противопоставить нашей команде, по мнению аналитиков Фонбет?"
48,В России после трехдневного снижения вновь зафиксирован рост заболеваемости коронавирусом,2022-02-16,"В России после трехдневного снижения вновь зафиксирован рост заболеваемости коронавирусом За сутки с COVID-19 госпитализированы 19,5 тысяч россиян"
49,Шведский барьер,2022-02-17,"Шведский барьер За выход в финал Олимпиады российские хоккеисты будут сражаться с похожим на них соперником. У кого больше шансов пройти в следующую стадию, по мнению экспертов Фонбет?"
50,Бен Стиллер: «Мы все сегодня испытываем определенное ощущение разъединенности»,2022-02-18,"Бен Стиллер: «Мы все сегодня испытываем определенное ощущение разъединенности» «Наш сериал заставит зрителей задуматься о тех проблемах, которые есть в наших жизнях. О чем наша работа? В конечном счете, что мы тут делаем?»"
51,"Звонят из компаний, которым вы не давали свои контакты. Что делать?",2022-02-19,"Звонят из компаний, которым вы не давали свои контакты. Что делать? Как персональные данные могут попасть к тем, кому вы их не давали, и как с этим бороться"
52,«Мы попросили русских стать посредниками между сирийским правительством и нашим народом»,2022-02-20,"«Мы попросили русских стать посредниками между сирийским правительством и нашим народом» Лидер друзской общины Израиля рассказал о том, что привело его в Москву"
53,"«У Владимира Александровича был момент, когда можно было прижать и перекрыть кислород тем, кто за войну»",2022-02-21,"«У Владимира Александровича был момент, когда можно было прижать и перекрыть кислород тем, кто за войну» Лидер украинской Национальной платформы примирения и единства Сергей Сивохо о Донбассе, войне, мире и Владимире Зеленском"
54,«Российский флаг на линии фронта в Донбассе резко поднимет ставки в случае обострения»,2022-02-22,«Российский флаг на линии фронта в Донбассе резко поднимет ставки в случае обострения» Директор Московского центра Карнеги Дмитрий Тренин — о последствиях признания ДНР и ЛНР
55,«Путин и его окружение не сильно пострадают»,2022-02-23,«Путин и его окружение не сильно пострадают» Как мировые СМИ комментируют первый пакет санкций против России за признание ДНР и ЛНР
56,"«Если понадобится, Евросоюз готов принять новые политические и экономические санкции»",2022-02-24,"«Если понадобится, Евросоюз готов принять новые политические и экономические санкции» В черные списки ЕС попали Шойгу, Вайно, Хуснуллин, Решетников, Костин, Шувалов, Захарова и Соловьев"
57,Санкции ЕС будут включать почти полное прекращение деловых отношений с Россией,2022-02-25,Санкции ЕС будут включать почти полное прекращение деловых отношений с Россией Министр финансов ФРГ Линднер: санкции означают полноценную блокаду банков России
58,"«Эти проблемы должно решать государство, коль затеяло мировой передел»",2022-02-26,"«Эти проблемы должно решать государство, коль затеяло мировой передел» Понасенков, Пушкина, Жулин, Власов — о том, приняли бы они у себя беженцев из Донбасса"
59,«Давление всегда является недружеским»,2022-02-27,"«Давление всегда является недружеским» Какими способами, включая теракт, воюющие страны пытались перетянуть Турцию на свою сторону"
60,«Нарушения в работе сердца могут привести к смерти пациента с болезнью Фабри»,2022-02-28,«Нарушения в работе сердца могут привести к смерти пациента с болезнью Фабри» Профессор Сергей Терещенко — о развитии орфанной настороженности у врачей-кардиологов
61,"«Если Китай мировой цех, то Россия — электростанция, шахта и амбар Старого света»",2022-03-01,"«Если Китай мировой цех, то Россия — электростанция, шахта и амбар Старого света» Зарубежные СМИ о том, как отразятся санкции на российской и мировой экономиках"
62,Как роботизировать внедрение искусственного интеллекта,2022-03-02,Как роботизировать внедрение искусственного интеллекта Российская компания разработала технологию автоматизации калибровки сенсоров промышленного агроробота
63,Кадыров объявил награду в $500 тыс. за каждого убитого командира украинских националистов,2022-03-03,"Кадыров объявил награду в $500 тыс. за каждого убитого командира украинских националистов Глава Чечни сообщил, что чеченский спецназ занял крупную военную базу на Украине"
64,Генсек НАТО Столтенберг: на Украине будет «еще больше смертей и разрушений»,2022-03-04,Генсек НАТО Столтенберг: на Украине будет «еще больше смертей и разрушений» Генсек альянса исключил бесполетную зону и отправку войск на Украину
65,"«Встречаться нужно не в лесу, а в одной из европейских столиц»",2022-03-05,"«Встречаться нужно не в лесу, а в одной из европейских столиц» Дмитрий Дризе — о заявлениях Москвы и Киева перед новым раундом переговоров"
66,"Антикризисные меры, новые санкции и другие последствия военной операции на Украине",2022-03-06,"Антикризисные меры, новые санкции и другие последствия военной операции на Украине Чем запомнилась неделя 28 февраля—5 марта: цифры, цитаты и факты"
67,Цена газа в Европе взлетела почти на 20% на фоне санкций против России,2022-03-07,"Цена газа в Европе взлетела почти на 20% на фоне санкций против России Биржевые цены на газ в Европе растут после того, как Запад ввел жесткие санкции против российской финансовой системы. Инвесторы опасаются перебоев с поставками газа из страны"
68,JPMorgan исключит российский долг из своих облигационных индексов,2022-03-08,"JPMorgan исключит российский долг из своих облигационных индексов Это может вызвать отток средств иностранных фондов из российских ценных бумаг. При этом возврат в базу расчета индикаторов JPMorgan возможен, но маловероятен в ближайшее время"
69,"Ставки по вкладам, режим работы бирж, рекорды на рынке сырья: дайджест",2022-03-09,"Ставки по вкладам, режим работы бирж, рекорды на рынке сырья: дайджест Топ-10 ставок по вкладам и накопительным счетам. Мосбиржа не будет проводить торги акциями. Никель, газ обновили рекорды в выходные, нефть превысила $130 за баррель. Заметные события, которые будут влиять на рынки"
70,"Ставки по вкладам, режим торгов на биржах, сплит акций Amazon: дайджест",2022-03-10,"Ставки по вкладам, режим торгов на биржах, сплит акций Amazon: дайджест Мосбиржа не будет проводить торги акциями. Совет директоров Amazon одобрил сплит 20:1. Нефть откатилась с рекордных максимумов. Заметные события, которые будут влиять на рынки"
71,Власти рассмотрят возможность принудительного выкупа акций у нерезидентов,2022-03-11,"Власти рассмотрят возможность принудительного выкупа акций у нерезидентов Власти РФ не исключают возможности принудительного выкупа акций у резидентов недружественных стран. Инструмент принудительного выкупа акций может быть применен в ответ на действия, которые предприняли эти страны"
72,Потанин сравнил аномальные цены на никель с отрицательной ценой нефти,2022-03-12,"Потанин сравнил аномальные цены на никель с отрицательной ценой нефти В последние дни из-за риска перебоев с поставками из России резко выросли цены на никель. Владелец «Норникеля» считает, что это, скорее, ситуативное явление на биржах, в реальности по таким ценам никто металл не покупает"
73,Эмманюэль Макрон въедет в Елисейский дворец на русском танке,2022-03-13,Эмманюэль Макрон въедет в Елисейский дворец на русском танке Предвыборные рейтинги обещают победу нынешнему президенту
74,"Акции Netflix растеряли весь рост, достигнутый за время пандемии",2022-03-14,"Акции Netflix растеряли весь рост, достигнутый за время пандемии Бумаги упали до уровня марта 2020 года, когда страны начали вводить пандемийные ограничения. Netflix переживает не лучшие времена из-за снижения притока пользователей, роста конкуренции на рынке и повышения затрат"
75,ЦБ впервые прокомментировал приостановку торгов акциями в России,2022-03-14,"ЦБ впервые прокомментировал приостановку торгов акциями в России Сделки с российскими акциями не проходят уже третью неделю подряд. Регулятор считает, что текущая ситуация не позволяет открыть рынок, а Мосбиржа указывает на необходимость завершить расчеты по уже начатым сделкам"
76,"Почему закрыты торги акциями на Мосбирже: причины, риски и перспективы",2022-03-15,"Почему закрыты торги акциями на Мосбирже: причины, риски и перспективы После крупнейшего в истории обвала рынка на Мосбирже приостановили торги. Третью неделю на площадке нельзя торговать акциями и облигациями. Профучастники и эксперты рассказали, в чем причина такой длительной остановки"
77,"Ставки по вкладам, купоны по еврооблигациям, заседание ФРС: дайджест",2022-03-16,"Ставки по вкладам, купоны по еврооблигациям, заседание ФРС: дайджест Топ-10 ставок по вкладам и накопительным счетам. Россия сегодня должна выплатить проценты по еврооблигациям на $117 млн. Ожидается, что ФРС повысит ключевую ставку. Заметные события, которые будут влиять на рынки"
78,«Коммерсантъ» сообщил о возможном делистинге «Интер РАО» и выкупе акций,2022-03-16,"«Коммерсантъ» сообщил о возможном делистинге «Интер РАО» и выкупе акций Эксперты отмечают, что запас наличности позволяет компании выкупить миноритарную долю без привлечения долга. Однако 11% акций компании принадлежит иностранным инвесторам, которые сейчас не могут выйти из бумаг"
79,Китайский рынок продолжил бурный рост после рекордного с 2008 года обвала,2022-03-17,"Китайский рынок продолжил бурный рост после рекордного с 2008 года обвала Днем ранее рынок продемонстрировал самый большой внутридневной рост с ноября 2008 года. Катализатором роста стали заявления властей о поддержке финансовой стабильности рынка, а также листинга за рубежом"
80,Goldman предсказал новый обвал S&P 500 при ухудшении ситуации на Украине,2022-03-18,Goldman предсказал новый обвал S&P 500 при ухудшении ситуации на Украине Эксперты американского банка Goldman Sachs указали на возможность снижения американского индекса широкого рынка S&P 500 на 8% до конца года в случае ухудшения геополитической напряженности на Украине
81,"Торги на бирже начнутся с ОФЗ: 5 факторов, которые изменят их рынок",2022-03-19,"Торги на бирже начнутся с ОФЗ: 5 факторов, которые изменят их рынок 21 марта торги в фондовой секции Мосбиржи начнутся с рынка гособлигаций. Готовы ли инвесторы в ОФЗ переварить все события, которые произошли во время трехнедельной паузы, — в обзоре «РБК Инвестиций»"
82,«Один из самых драматичных дней». Как заработать на возобновлении торгов,2022-03-20,«Один из самых драматичных дней». Как заработать на возобновлении торгов Эксперт «БКС Мир инвестиций» Валерий Емельянов проанализировал кризисную ситуацию на рынке и увидел шанс заработать после запуска торгов российскими акциями
83,Глава ФРС заявил о возможности ускорить повышение ставки из-за инфляции,2022-03-21,"Глава ФРС заявил о возможности ускорить повышение ставки из-за инфляции В марте ФРС впервые за четыре года повысила ключевую ставку — на 25 базисных пунктов. По словам Джерома Пауэлла, ради стабильности цен регулятор может увеличивать ставку на грядущих заседаниях более чем на 25 б.п."
84,JPMorgan спрогнозировал рост индекса S&P 500 на 10% до конца года,2022-03-22,JPMorgan спрогнозировал рост индекса S&P 500 на 10% до конца года В банке оптимистично оценивают перспективы рынка американских акций и ожидают его подъема во второй половине года. Индекс S&P 500 может вырасти к концу года минимум на 10% от текущих уровней — до 4900 пунктов
85,Аналитик предупредил о возможном росте цен на нефть до $150 за баррель,2022-03-23,"Аналитик предупредил о возможном росте цен на нефть до $150 за баррель Директор по инвестициям Merchant Commodity Fund ожидает роста сырьевых цен на фоне геополитической напряженности, проблем с цепочками поставок, ограниченного роста добычи и растущего спроса на путешествия после пандемии"
86,Взрывной рост на рынке акций после трехнедельной паузы. С чем это связано,2022-03-24,"Взрывной рост на рынке акций после трехнедельной паузы. С чем это связано 24 марта на Мосбирже начались первые торги акциями после долгого перерыва. Накануне аналитики допускали, что уровни цен могут приблизиться к тем, что были на закрытии сессии 25 февраля. Но реальность превзошла ожидания"
87,Morgan Stanley предсказал падение спроса на электромобили из-за роста цен,2022-03-25,"Morgan Stanley предсказал падение спроса на электромобили из-за роста цен Производителям аккумуляторов для электрокаров придется поднять цены на 25% из-за роста цен на литий почти в пять раз за последний год, считают в Morgan Stanley. Это может привести к скачку цен на электромобили"
88,Джим Роджерс — РБК: «Никто не рад обвалу рубля»,2022-03-26,"Джим Роджерс — РБК: «Никто не рад обвалу рубля» Американский инвестор рассказал, что думает о перспективах российской экономики, а также объяснил, почему делает ставку на сырьевые товары. Интервью было взято в период, когда торги акциями в России стояли на паузе"
89,Что такое эмбарго: от захвата судов до экономических санкций,2022-03-27,"Что такое эмбарго: от захвата судов до экономических санкций В отношении России введены самые широкомасштабные по числу санкции за всю историю. Что такое эмбарго, для чего они вводятся и какие последствия вызывают — в ликбезе «РБК Инвестиций»"
90,Итоги третьего дня торгов: «летающий» второй эшелон и осторожные прогнозы,2022-03-28,"Итоги третьего дня торгов: «летающий» второй эшелон и осторожные прогнозы Третий день торгов на Московской бирже после затянувшейся паузы оказался по-своему интересен. С одной стороны, рынок постепенно начал приходить в норму, с другой — на нем пока бесполезно хоть что-либо прогнозировать"
91,Акции VK выросли более чем на 70%. С чем это связано и при чем тут шорты,2022-03-29,"Акции VK выросли более чем на 70%. С чем это связано и при чем тут шорты Расписки VK резко выросли в первый день торгов после перерыва. «РБК Инвестиции» выяснили у экспертов, как повлияло закрытие коротких позиций и сможет ли уход конкурентов с российского рынка соцсетей поддержать бумаги"
92,"До инвесторов не доходят иностранные дивиденды. Разбираемся, ждать ли их",2022-03-30,"До инвесторов не доходят иностранные дивиденды. Разбираемся, ждать ли их Зарубежные клиринговые организации заблокировали счета российского депозитария из-за санкций. В итоге у инвесторов из России возникли проблемы с дивидендами по иностранным акциям. Разбираемся, стоит ли ждать выплат"
93,Газ в Европе подорожал почти до $1500 за тыс. куб. после заявления Путина,2022-03-31,"Газ в Европе подорожал почти до $1500 за тыс. куб. после заявления Путина Стоимость фьючерсов на газ в Европе поднялась до $1480 за тыс. куб. м. Цены растут на фоне заявления президента России Владимира Путина о том, что странам Запада нужно будет оплачивать газ в рублях с 1 апреля"
94,"Ставки в банках, цены на нефть, газ за рубли: дайджест инвестора",2022-04-01,"Ставки в банках, цены на нефть, газ за рубли: дайджест инвестора Топ-10 ставок по вкладам. C 1 апреля российский газ будет продаваться в недружественные страны за рубли. США планируют поставки нефти на рынок из стратегических резервов. Заметные события, которые будут влиять на рынки"
