,title,description,date,type,comp_short,data_exchange,data-price
10,"Джим Роджерс — РБК: «Пока держу доллар, но проблемы для него нарастают»","«РБК Инвестиции» поговорили с легендарным инвестором Джимом Роджерсом в конце декабря. Он порассуждал о глобальных финансовых проблемах, а также о судьбе своих инвестиций в России, доступ к которым сейчас заблокирован","05 янв, 09:00",Интервью,"['USD/RUB', 'EUR/USD', 'GOLD', 'Silver', 'PHOR', 'MOEX', 'AFKS', 'AFLT']","['-0.419', '0.137', '-0.056032872618603', '-0.19243104554201', '0.241', '-0.392', '-0.628', '0.43135783945987']","['90.95', '1.096', '2675.5', '31.12', '6665', '193.08', '16.311', '53.55']"
11,Индекс Nikkei и курс иены упали после землетрясений в Японии,"Первые торги года на Токийской фондовой бирже завершились снижением на фоне землетрясений, начавшихся в Японии 1 января. Аналитики изменили свой прогноз по поводу политики Банка Японии в отношении процентной ставки","04 янв, 12:34",Новости,['USD/RUB'],['-0.726'],['91.3325']
12,"Акции, облигации, вклады, валюта: что принесло наибольший доход в 2023-м","«РБК Инвестиции» сопоставили доходности инвестиций в 2023 году при вложении в разные инструменты. Что принесло наибольший доход, а что могло разочаровать инвестора — в нашем обзоре","04 янв, 10:30",Итоги месяца,"['IMOEX', 'USD/RUB', 'EUR/USD', 'KZT/RUB', 'CNY/RUB']","['0.187', '-0.726', '0.371', '0.423', '-0.596']","['3136.07', '91.3325', '1.0945', '20.195', '12.676']"
13,«ВТБ Мои Инвестиции» завершила перевод 95% активов из «Открытие Брокер»,"На первом этапе к брокеру ВТБ были переведены 95% активов, которые находились в «Открытие Брокер». В январе — июне работа над переводом активов продолжится","04 янв, 09:00",Новости,"['VTBR', 'SBER', 'SBERP', 'SVCB']","['0.369', '-0.16', '-0.076', '-0.632']","['115.55', '274.12', '274.6', '14.155']"
14,Курс доллара на Мосбирже превысил ₽92,"Рубль падает на фоне снижения цен на нефть и низкой активности участников торгов в связи с праздниками. Кроме того, рубль утратил поддержку налогового периода","04 янв, 07:58",Новости,"['USD/RUB', 'CNY/RUB', 'EUR/RUB']","['-0.726', '-0.596', '-0.319']","['91.3325', '12.676', '99.91']"
15,Цена нефти Brent превысила $78 на новостях о перебоях в добыче в Ливии,"Протесты привели к сокращению добычи на месторождении Шарара в Ливии, где добывается до 300 тыс. баррелей нефти в сутки. Поддержку ценам также оказали сообщения об атаках хуситов на суда в Красном море","03 янв, 19:07",Новости,"['BRENT', 'LKOH', 'ROSN', 'BANE', 'NKNC', 'RNFT', 'SIBN', 'TATN', 'SNGS']","['0.627', '0.957', '1.821', '3.497', '1.91', '3.925', '-0.63210227272727', '-1.8792161901703', '2.046']","['78.7', '6803.5', '604', '2249', '104.05', '137.7', '699.55', '610.9', '27.435']"
16,Аналитики предрекли рост цен на медь более чем на 75% к 2025 году,Медь может подорожать до нового исторического рекорда на фоне перебоев с поставками и роста спроса на металл в связи с энергопереходом. Поддержку ценам также окажет ослабление доллара США,"03 янв, 13:30",Новости,"['GOLD', 'Platinum', 'Silver', 'GMKN']","['-0.056032872618603', '-0.767987065481', '-0.19243104554201', '1.138']","['2675.5', '982', '31.12', '163.56']"
17,Цена нефти Brent опустилась ниже $75 за баррель впервые с 14 декабря,"Эксперты предрекают снижение котировок Brent к уровню $71,5 за баррель. Но поддержку котировкам оказывает напряженность в Красном море","03 янв, 13:07",Новости,"['BRENT', 'LKOH', 'ROSN', 'BANE', 'NKNC', 'RNFT', 'SIBN', 'TATN', 'SNGS']","['0.627', '0.957', '1.821', '3.497', '1.91', '3.925', '-0.63210227272727', '-1.8792161901703', '2.046']","['78.7', '6803.5', '604', '2249', '104.05', '137.7', '699.55', '610.9', '27.435']"
18,Акции АЛРОСА ушли в минус на новости о санкциях ЕС против компании,"ЕС добавил санкции против российской алмазодобывающей компании АЛРОСА и внес ее гендиректора Павла Мариничева в санкционный список. Ранее ЕС ввел ограничения на импорт алмазов, произведенных или обработанных в России","03 янв, 12:57",Новости,['ALRS'],['2.446'],['71.2']
19,Что будет с рынком IPO в 2024 году: основные тенденции и эмитенты,"В 2024 году российский рынок IPO ожидают небольшие объемы размещений, преобладание компаний из IT-сектора и повышенный интерес со стороны частных инвесторов, считают опрошенные «РБК Инвестициями» эксперты","03 янв, 09:05",Что это значит,"['GECO', 'WUSH', 'CARM', 'EUTR']","['2.556', '2.706', '1.903', '-3.346']","['44.93', '223.17', '2.303', '260']"
20,Курс доллара начал 2024 год ростом до ₽91,Рубль слабеет на фоне снижения цен на нефть и укрепления доллара США на мировом рынке,"03 янв, 08:56",Курсы валют,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['1.815', '-1.272', '0.61']","['92', '1.09045', '100.23']"
21,"11 фильмов про инвестиции и трейдеров, которые стоит посмотреть каждому","Что делать в выходные, если биржи закрыты, а отрываться от тематики инвестиций не хочется? Можно смотреть фильмы о финансовых рынках и жизни трейдеров — мы собрали для вас лучшие","02 янв, 10:01",Биржевые истории,"['NFLX', 'CMCSA', 'DIS']","['2.8265329382266', '0.96153846153846', '0.12988418660028']","['721.76', '40.95', '92.51']"
22,Самые доходные российские акции XXI века: рейтинг «РБК Инвестиций»,"Российский рынок не только выдержал все потрясения, но и значительно вырос с 2000 года. «РБК Инвестиции» составили рейтинг бумаг, которые проявили себя лучше всего и дали максимальную доходность","02 янв, 09:30",Итоги месяца,"['IMOEX', 'SBER', 'SIBN', 'LKOH', 'MFGS', 'MFGSP', 'SBERP', 'AFLT', 'RTKMP', 'SNGSP']","['-1.2236539627094', '-0.68978658536585', '-0.63210227272727', '-1.477020147702', '0.24570024570025', '0', '-0.73941380493197', '0.43135783945987', '-1.4695077149155', '0.50835148874365']","['2754.25', '260.59', '699.55', '6870.5', '408', '261', '260.43', '53.55', '67.05', '55.36']"
23,Куда вложить ₽100 тыс. в 2024 году: 4 перспективных варианта,"Наступил 2024 год — время искать новые инвестиционные возможности. «РБК Инвестиции» опросили экспертов и собрали варианты для вложения накоплений, не превышающих ₽100 тыс.","01 янв, 09:00",Что это значит,"['IMOEX', 'GOLD', 'LKOH', 'SBER']","['-1.2236539627094', '-0.056032872618603', '-1.477020147702', '-0.68978658536585']","['2754.25', '2675.5', '6870.5', '260.59']"
24,«Деньги возвращаются домой»: каким был 2023 год для частных инвесторов,"Мы спросили частных инвесторов, какие события 2023 года повлияли на их инвестиции, как они решали возникшие проблемы и каких изменений ждут от нового года. А также своим мнением поделились авторы «РБК Инвестиций»","31 дек 2023, 10:00",Личный опыт,"['IMOEX', 'RTSI']","['-1.2236539627094', '-1.2287055373809']","['2754.25', '902.74']"
25,Чем инвесторам запомнился 2023 год: 6 главных событий российского рынка,"2023 год точно войдет в историю российского рынка. Какие события стали главными и что ждет инвесторов в 2024 году, рассказал инвестиционный стратег брокера «ВТБ Мои Инвестиции» Станислав Клещев","30 дек 2023, 10:00",Мнение профи,"['IMOEX', 'RTSI']","['-1.2236539627094', '-1.2287055373809']","['2754.25', '902.74']"
26,Российский рынок акций по итогам 2023 года вырос на 44%,В 2024 году аналитики ожидают продолжения роста рынка акций. Наиболее оптимистичный прогноз предполагает подъем индекса Мосбиржи до 4000 пунктов к концу следующего года,"29 дек 2023, 19:19",Новости,"['IMOEX', 'RTSI', 'MOEX', 'SPBE']","['-0.093', '-0.683', '0.137', '0.26']","['3099.11', '1083.48', '189.57', '77.1']"
27,Доллар по итогам 2023 года подорожал к рублю на 29%,"В 2023 году рубль перешел к ослаблению, к октябрю курс доллара вырос почти на 50%. Но в последние месяцы года рубль смог отыграть часть потерь. «РБК Инвестиции» вспомнили, что происходило на валютном рынке в 2023 году","29 дек 2023, 19:10",Курсы валют,"['USD/RUB', 'EUR/RUB', 'CNY/RUB', 'KZT/RUB']","['1.119', '0.003', '0.091', '-0.327']","['90.36', '99.6225', '12.6115', '19.8']"
28,Найра упала сильнее всего за 24 года и вошла в тройку худших валют мира,"Нигерийская валюта переживает худший год с 1999-го. Аналитики прогнозируют ее дальнейшее обесценивание в 2024 году, если президент страны Бола Тинубу не привлечет международных инвесторов или не увеличит добычу нефти","29 дек 2023, 16:29",Новости,['USD/RUB'],['1.119'],['90.36']
29,"ЦБ установил курсы доллара, евро и юаня на выходные и праздники",,"29 дек 2023, 16:20",Курсы валют,"['USD/RUB', 'EUR/USD', 'CNY/RUB']","['1.119', '-1.03', '0.091']","['90.36', '1.1045', '12.6115']"
30,Мосбиржа сообщила об изменении в торгах акциями «Транснефти» из-за сплита,"Инвесторы не смогут заключить с привилегированными акциями компании сделки с исполнением 14 и 15 февраля 2024 года. 16 февраля будут доступны все коды расчетов, которые применяются в торговле этими бумагами","29 дек 2023, 15:38",Новости,['TRNFP'],['-1.1552346570397'],['1369']
31,Московский кредитный банк выдал карту «Мир» гражданину другой страны,Московский кредитный банк совместно с Душанбе Сити Банком выдал карту «Мир» гражданину Таджикистана и протестировал новую технологию идентификации клиентов,"29 дек 2023, 14:47",РБК Банки,"['CBOM', 'SBERP', 'VTBR']","['0.474', '0.136', '-0.066']","['8.055', '272.22', '113.4']"
32,Головная структура сети «ЕвроМедЦентр» перерегистрировалась в Россию,"Компания была зарегистрирована в САР на острове Октябрьский в Калининградской области. Торги бумаги ЕМС были приостановлены ранее в декабре. Возможно, пауза в торгах продлится около месяца","29 дек 2023, 14:27",Новости,"['GEMC', 'MDMG', 'GEMA']","['-1.1953396883038', '-1.786', '1.008']","['653', '775.2', '100.2']"
33,"Курс доллара упал ниже ₽89, евро — ниже ₽99, юань — ниже ₽12,5",Российская валюта продолжает укрепляться к доллару и евро. Поддержку рублю оказало сообщение ЦБ об объеме продаж валюты на рынке в январе 2024 года,"29 дек 2023, 11:27",Курсы валют,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['1.119', '-1.03', '0.003']","['90.36', '1.1045', '99.6225']"
34,СПБ Биржа возобновила торги после технического сбоя,"Площадка приостановила сделки с российскими бумагами в пятницу, 29 декабря, с 07:50 мск. В 11:15 мск торги были возобновлены. Причины технического сбоя выясняются","29 дек 2023, 11:20",Новости,"['SPBE', 'MOEX']","['0.26', '0.137']","['77.1', '189.57']"
35,СПБ Биржа назвала время возобновления торгов,Торги будут возобновлены в 11:15 по московскому времени,"29 дек 2023, 11:02",Новости,"['SPBE', 'MOEX']","['0.26', '0.137']","['77.1', '189.57']"
36,"Сбой на СПБ Бирже, курс рубля, акции «Мосгорломбарда»: дайджест",Российская валюта значительно укрепилась по итогам торгов четверга. Акции «Мосгорломбарда» снизились в первый день торгов после IPO. Официальный курс валют по итогам 2023 года окажет влияние на результаты компании,"29 дек 2023, 08:55",События дня,"['USD/RUB', 'EUR/USD', 'MGKL', 'SNGSP']","['1.119', '-1.03', '-0.211', '0.018']","['90.36', '1.1045', '2.365', '55.35']"
37,Активность иностранных инвесторов на рынке Китая упала на 87% с августа,Иностранные инвесторы активно продают китайские активы из-за опасений по поводу восстановления экономического роста Китая. На инвесторов значительно повлияли проблемы в секторе недвижимости,"28 дек 2023, 22:22",Новости,['USD/RUB'],['-2.093'],['89.36']
38,Курс доллара в январе 2024 года: удержит ли рубль свои позиции,"Несмотря на ослабление курса рубля в течение этого года, возобновление покупок валюты ЦБ может помочь укрепиться российской валюте. Какие еще факторы будут влиять на рубль в начале 2024 года — разбираемся с экспертами","28 дек 2023, 21:12",Курсы валют,"['USD/RUB', 'EUR/USD', 'CNY/RUB']","['-2.093', '0.631', '-1.06']","['89.36', '1.116', '12.6']"
39,ВТБ не исключил обратный сплит акций для удобства акционеров,"По словам вице-президента, начальника управления по работе с инвесторами банка Леонида Вакеева, пока такого решения нет, но оно в фокусе","28 дек 2023, 20:25",Новости,"['VTBR', 'SBER', 'SBERP']","['-0.787', '0.243', '0.229']","['113.475', '271.74', '271.85']"
40,ВТБ начнет перевод активов клиентов «Открытие Брокер» 29 декабря,Перевод происходит в рамках объединения двух финансовых групп. Клиенты «Открытие Брокер» смогут получать брокерское и депозитарное обслуживание в «ВТБ Мои Инвестиции». Перевод активов завершится до 3 января 2024 года,"28 дек 2023, 18:22",Новости,['VTBR'],['-0.787'],['113.475']
41,"ЦБ установил курсы доллара, евро и юаня на 29 декабря",,"28 дек 2023, 16:39",Курсы валют,"['USD/RUB', 'EUR/USD', 'CNY/RUB']","['-2.093', '0.631', '-1.06']","['89.36', '1.116', '12.6']"
42,Акции «Мосгорломбарда» снизились на 4% в первый день торгов после IPO,Бумаги «Мосгорломбарда» начали торговаться на Московской бирже под тикером MGKL. По итогам первичного размещения компания привлекла около ₽303 млн,"28 дек 2023, 16:25",Новости,"['SBER', 'Silver', 'VTBR', 'MGKL']","['0.243', '-0.19243104554201', '-0.787', '-0.039494470774092']","['271.74', '31.12', '113.475', '2.531']"
43,Курс евро на Московской бирже упал ниже ₽100,Спрос на евро и доллары на валютном рынке остается невысоким. Европейская валюта снизились до ₽100 впервые с 21 декабря,"28 дек 2023, 15:10",Курсы валют,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['-2.093', '0.631', '-1.535']","['89.36', '1.116', '99.62']"
44,МТС сообщила об отмене регистрации своих бумаг в американской SEC,Российский оператор мобильной связи МТС решил прекратить все обязательства по отчетности перед Комиссией по ценным бумагам и биржам США (SEC). Ранее в августе МТС провела делистинг своих бумаг с биржи NYSE,"28 дек 2023, 14:55",Новости,['MTSS'],['0.363'],['248.55']
45,Пенсионный фонд Норвегии внес в черный список компании Персидского залива,"Муниципальный пенсионный фонд Норвегии отказался от активов стран Персидского залива на $15 млн из-за опасения, что они могут нарушать права человека. Saudi Aramco фонд решил исключить из-за климатических рисков","28 дек 2023, 14:43",Новости,"['USD/RUB', 'EUR/RUB']","['-2.093', '-1.535']","['89.36', '99.62']"
46,Курс доллара упал ниже ₽90 впервые с 19 декабря,Рубль продолжает укрепляться по отношению к доллару за счет действия указа об обязательной продаже валютной выручки экспортерами,"28 дек 2023, 14:30",Курсы валют,"['USD/RUB', 'EUR/USD', 'EUR/RUB']","['-2.093', '0.631', '-1.535']","['89.36', '1.116', '99.62']"
47,Совфед предложил обнулить подоходный налог по дивидендам на ИИС,"Совфед предложил на пять лет отменить НДФЛ на дивиденды по купленным в ходе IPO и SPO акциям, а также по приобретенным в течение месяца после этого бумагам. Он также предложил обнулить налог по дивидендам на акции с ИИС","28 дек 2023, 12:20",Новости,"['IMOEX', 'MOEX', 'VEON', 'RTSI']","['0.145', '-0.363', '3.608076795763', '2.079']","['3101.99', '189.31', '31.3', '1090.93']"
48,В Газпромбанке предсказали стабильный рубль и рост рынка перед выборами,Исторически индекс Мосбиржи в первом квартале в годы президентских выборов показывал более сильную динамику. Рубль также был крепок в этот период. На основе этих данных в ГПБ сделали прогноз перед выборами 2024 года,"28 дек 2023, 11:58",Новости,"['IMOEX', 'USD/RUB']","['0.145', '-2.093']","['3101.99', '89.36']"
49,«Мосгорломбард» привлек более ₽300 млн в ходе IPO на Мосбирже,"Размещение состоялось по нижней границе ценового диапазона ₽2,5–2,55. Старт торгов акциями запланирован на 16:00 мск 28 декабря","28 дек 2023, 09:35",Новости,"['SBER', 'SBERP', 'VTBR', 'SVCB', 'MGKL']","['0.243', '0.229', '-0.787', '-0.366', '-0.039494470774092']","['271.74', '271.85', '113.475', '13.605', '2.531']"
50,"Курс рубля, золото и переезд «Яндекса»: дайджест инвестора",В начале торгов курс рубля укрепляется благодаря жесткой денежно-кредитной политике. Цены на золото достигли максимумов. Акции «Яндекса» показывают рост после новостей о завершении переезда компании,"28 дек 2023, 08:50",События дня,"['USD/RUB', 'EUR/USD', 'GOLD', 'YDEX']","['-2.093', '0.631', '-0.056032872618603', '-0.737']","['89.36', '1.116', '2675.5', '2531.2']"
51,Аналитики «Альфа-Капитала» обновили топ-10 акций на российском рынке,Эксперты зафиксировали прибыль по акциям «Газпром нефти» и заменили их на бумаги с большим потенциалом роста,"27 дек 2023, 18:17",Новости,"['IMOEX', 'RTSI', 'MOEX']","['0.09', '0.532', '-0.99']","['3097.49', '1068.71', '190']"
52,Минфин допустил участие иностранных инвесторов в приватизации госбанков,"Ранее Минфин сформировал список из 30 крупных банков и компаний, где государство может снизить свою долю. Глава Министерства финансов Антон Силуанов надеется, что правительство примет решение по этому вопросу в 2024 году","27 дек 2023, 17:58",Новости,"['SBER', 'SBERP', 'VTBR']","['-0.302', '-0.254', '-1.231']","['271.08', '271.23', '114.375']"
53,В Минфине назвали возможные сроки начала и завершения обмена активами,"Заместитель министра финансов Иван Чебесков надеется, что обмен заблокированными активами между россиянами и иностранцами начнется в январе и завершится до конца 2024 года. На первом этапе обменяют портфели до ₽100 тыс.","27 дек 2023, 17:43",Новости,"['AAPL', 'TSLA', 'MSFT', 'GOOGL']","['1.840407776625', '1.5238965245194', '1.2623919519461', '0.85900110442999']","['225.77', '244.5', '414.71', '164.38']"
54,Акции «Яндекса» подорожали на 4% на новости о регистрации в России,Ранее Банк России зарегистрировал обыкновенные и привилегированные акции МКАО «Яндекс»,"27 дек 2023, 17:26",Новости,['YDEX'],['5.042'],['2550']
55,"ЦБ установил курсы доллара, евро и юаня на 28 декабря",,"27 дек 2023, 16:33",Курсы валют,"['USD/RUB', 'EUR/USD', 'CNY/RUB']","['-0.425', '0.376', '-0.414']","['91.27', '1.109', '12.735']"
56,JPMorgan заработал пятую часть прибыли всех банков США,Банк JPMorgan опередил всех своих американских конкурентов. В январе — сентябре 2023 года он получил пятую часть прибыли всех банков США,"27 дек 2023, 15:17",Новости,"['JPM', 'BAC', 'MS', 'C', 'SPBE']","['-0.085336367515289', '-0.075075075075075', '-0.13935340022297', '1.0223642172524', '-2.349']","['210.75', '39.93', '107.49', '63.24', '79']"
57,Мосбиржа начала расчет индексов бриллиантов,Композитные индексы бриллиантового набора и индексы инвестиционных бриллиантов помогут владельцам квазивалютных активов получать актуальную информацию о рынке,"27 дек 2023, 14:46",Новости,['IMOEX'],['0.09'],['3097.49']
58,Акции «Магнита» обновили максимум с ноября 2017 года,"В среду, 28 декабря, было запланировано годовое общее собрание акционеров. Среди вопросов на повестке — дивиденды по итогам 2022 года и переизбрание членов совета директоров","27 дек 2023, 14:35",Новости,"['MGNT', 'FIVE', 'LENT', 'FIXP', 'OKEY']","['-0.75050709939148', '', '-0.665', '0.46850598646538', '-4.502']","['4893', '0', '672.5', '193', '29.91']"
59,Цена газа в Европе взлетела на 8% из-за напряженности на Ближнем Востоке,Биржевая цена на газ в Европе взлетела более чем на 8% из-за эскалации войны на Ближнем Востоке. Новые атаки на транспортные суда в Красном море усилили опасения сбоев поставок энергоносителей в Европу,"27 дек 2023, 12:16",Новости,['GAZP'],['-1.4944332361952'],['131.83']
60,Газпромбанк предсказал рост цен на золото до $2300 за унцию в 2024 году,"Драйвером для золота в 2024 году выступит рост глобального благосостояния, что поддержит основную компоненту спроса — покупку ювелирных изделий. Дополнением станет повышенный спрос на золото со стороны мировых ЦБ","27 дек 2023, 11:35",Новости,"['GOLD', 'UGLD', 'PLZL']","['-0.056032872618603', '-1.069', '-2.009256123716']","['2675.5', '0.6292', '13021.5']"
61,Как работают биржи в новогодние праздники: календарь-2024,Во время новогодних праздников мировые фондовые площадки тоже уходят на выходные. «РБК Инвестиции» собрали календарь расписания работы ведущих российских и мировых рынков на зимних каникулах,"27 дек 2023, 11:13",Что это значит,"['IMOEX', 'SPBE']","['0.09', '-2.349']","['3097.49', '79']"
62,Как инвестору заработать на ЖКХ: поговорим об акциях электроэнергетиков,Электроэнергетика — надежный бизнес на все времена. Но исторически в России электроэнергетики тратят много денег на обновление мощностей. Что будет с ними в 2024 году — в колонке эксперта по фондовому рынку Яны Тарасовой,"27 дек 2023, 11:02",Мнение профи,"['IRAO', 'UPRO', 'MSNG', 'HYDR', 'OGKB']","['-0.090591432638799', '-0.394', '-0.669', '0.53', '-0.975']","['3.86', '2.023', '3.119', '0.7209', '0.5482']"
63,"Цены на нефть, дивгэп «Газпром нефти», IPO «Мосгорломбарда»: дайджест","Сегодня акции «Газпром нефти» откроют торги дивгэпом и могут упасть на 8,5%. Цены на нефть растут на фоне геополитической напряженности на Ближнем Востоке. Последний день для подачи заявок на участие в IPO МГКЛ","27 дек 2023, 08:55",События дня,"['SIBN', 'BRENT', 'BELU']","['-8.263', '-0.576', '-0.578']","['857.05', '81.13', '5333']"
64,"Эксперты «Синары» назвали акции ретейлеров, которые вырастут в новом году","В «Синаре» делают ставку на крупнейших продовольственных ретейлеров, предлагающих товары массового спроса. Текущие рыночные условия для этих компаний сектора наиболее благоприятны","26 дек 2023, 20:52",Новости,"['IMOEX', 'RTSI']","['-0.139', '-0.058']","['3094.72', '1063.05']"
65,Минфин досрочно выполнил годовой план по наращиванию госдолга,"Минфин привлек в 2023 году свыше ₽2,8 трлн госдолга. Годовой план по заимствованиям выполнен досрочно, несмотря на то что ведомству в течение года приходилось отменять ряд аукционов","26 дек 2023, 17:47",Новости,['SU26238RMFS4'],['-0.611'],['665.84']
66,Цена нефти Brent превысила $81 за баррель впервые с 1 декабря,"Цены на сырье растут на фоне геополитической напряженности на Ближнем Востоке и оптимизма инвесторов, ожидающих, что ФРС США вскоре начнет снижать процентные ставки, стимулируя экономический рост и спрос на топливо","26 дек 2023, 17:36",Новости,"['BRENT', 'LKOH', 'ROSN', 'BANE', 'NKNC', 'RNFT', 'SIBN', 'TATN', 'SNGS']","['1.72', '0.4', '0.83', '0.459', '1.678', '2.701', '2.277', '3.299', '-0.545']","['81.6', '6771', '589.3', '2300', '106.05', '136.9', '934.25', '698.3', '27.35']"
67,"ЦБ установил курсы доллара, евро и юаня на 27 декабря",,"26 дек 2023, 16:19",Курсы валют,"['USD/RUB', 'EUR/USD', 'CNY/RUB']","['-0.098', '0.231', '0.212']","['91.66', '1.10485', '12.788']"
68,В БКС оценили дальнейшие перспективы лидеров роста в индексе Мосбиржи,"В брокерской компании полагают, что три из пяти бумаг способны продолжить рост в 2024 году. Акции одной компании могут принести инвесторам более 100%","26 дек 2023, 16:15",Новости,"['IMOEX', 'FLOT', 'MTLR', 'MTLRP', 'GLTR', 'SNGSP']","['-0.139', '1.571', '0.331', '-1.485', '1.043', '-1.35']","['3094.72', '139', '312.4', '355', '630', '57']"
69,Стоимость железной руды достигла максимума с июня 2022 года,"Поддержка властями Китая сектора недвижимости вселила инвесторам оптимизм. По мнению эксперта Bloomberg, фьючерсы на железную руду могут достичь уровня $145–158 за тонну к следующему кварталу","26 дек 2023, 15:33",Новости,['USD/RUB'],['-0.098'],['91.66']
70,Что такое транш и каким он бывает,При кредитовании на крупные суммы заемщик получает деньги несколькими частями — траншами. В чем особенность траншевого финансирования и в каких случаях с ним могут столкнуться физические лица — разбираемся с экспертом,"26 дек 2023, 14:10",РБК Банки,"['SBER', 'SU24021RMFS6']","['0.302', '-0.069']","['271.9', '100.14']"
71,«Цифра брокер» принудительно сконвертировал доллары Гонконга в рубли,"Также компания ввела запрет на покупку этой валюты и исключила гонконгские доллары из активов, которые могут служить залогом по маржинальным сделкам","26 дек 2023, 13:12",Новости,['HKD/RUB'],['-0.801'],['11.512']
